species,edible
Agaricus augustus,0
Agaricus xanthodermus,1
Amanita amerirubescens,1
Amanita augusta,1
Amanita brunnescens,1
Amanita calyptroderma,1
Amanita citrina,1
Amanita flavoconia,1
Amanita muscaria,1
Amanita pantherina,1
Amanita persicina,1
Amanita phalloides,1
Amanita rubescens,1
Amanita velosa,1
Apioperdon pyriforme,0
Armillaria borealis,1
Armillaria mellea,1
Armillaria tabescens,1
Artomyces pyxidatus,1
Bjerkandera adusta,1
Bolbitius titubans,1
Boletus edulis,0
Boletus pallidus,1
Boletus reticulatus,0
Boletus rex-veris,0
Calocera viscosa,1
Calycina citrina,1
Cantharellus californicus,0
Cantharellus cibarius,0
Cantharellus cinnabarinus,0
Cerioporus squamosus,1
Cetraria islandica,1
Chlorociboria aeruginascens,1
Chlorophyllum brunneum,1
Chlorophyllum molybdites,1
Chondrostereum purpureum,1
Cladonia fimbriata,1
Cladonia rangiferina,1
Cladonia stellaris,1
Clitocybe nebularis,1
Clitocybe nuda,1
Coltricia perennis,1
Coprinellus disseminatus,1
Coprinellus micaceus,1
Coprinopsis atramentaria,1
Coprinopsis lagopus,1
Coprinus comatus,0
Crucibulum laeve,1
Cryptoporus volvatus,1
Daedaleopsis confragosa,1
Daedaleopsis tricolor,1
Entoloma abortivum,1
Evernia mesomorpha,1
Evernia prunastri,1
Flammulina velutipes,0
Fomes fomentarius,1
Fomitopsis betulina,1
Fomitopsis mounceae,1
Fomitopsis pinicola,1
Galerina marginata,1
Ganoderma applanatum,1
Ganoderma curtisii,1
Ganoderma oregonense,1
Ganoderma tsugae,1
Gliophorus psittacinus,1
Gloeophyllum sepiarium,1
Graphis scripta,1
Grifola frondosa,0
Gymnopilus luteofolius,1
Gyromitra esculenta,1
Gyromitra gigas,1
Gyromitra infula,1
Hericium coralloides,0
Hericium erinaceus,0
Hygrophoropsis aurantiaca,1
Hypholoma fasciculare,1
Hypholoma lateritiu
m,1
Hypogymnia physodes,1
Hypomyces lactifluorum,0
Imleria badia,0
Inonotus obliquus,1
Ischnoderma resinosum,1
Kuehneromyces mutabilis,1
Laccaria ochropurpurea,1
Lactarius deliciosus,0
Lactarius torminosus,1
Lactarius turpis,1
Laetiporus sulphureus,1
Leccinum albostipitatum,1
Leccinum aurantiacum,1
Leccinum scabrum,1
Leccinum versipelle,1
Lepista nuda,0
Leratiomyces ceres,1
Leucoagaricus americanus,1
Leucoagaricus leucothites,1
Lobaria pulmonaria,1
Lycogala epidendrum,1
Lycoperdon perlatum,0
Lycoperdon pyriforme,1
Macrolepiota procera,0
Merulius tremellosus,1
Mutinus ravenelii,1
Mycena haematopus,1
Mycena leaiana,1
Nectria cinnabarina,1
Omphalotus illudens,1
Omphalotus olivascens,1
Panaeolus papilionaceus,1
Panellus stipticus,1
Parmelia sulcata,1
Paxillus involutus,1
Peltigera aphthosa,1
Peltigera praetextata,1
Phaeolus schweinitzii,1
Phaeophyscia orbicularis,1
Phallus impudicus,1
Phellinus igniarius,1
Phellinus tremulae,1
Phlebia radiata,1
Phlebia tremellosa,1
Pholiota aurivella,1
Pholiota squarrosa,1
Phyllotopsis nidulans,1
Physcia adscendens,1
Platismatia glauca,1
Pleurotus ostreatus,0
Pleurotus pulmonarius,0
Psathyrella candolleana,1
Pseudevernia furfuracea,1
Pseudohydnum gelatinosum,0
Psilocybe azurescens,1
Psilocybe caerulescens,1
Psilocybe cubensis,1
Psilocybe cyanescens,1
Psilocybe ovoideocystidiata,1
Psilocybe pelliculosa,1
Retiboletus ornatipes,1
Rhytisma acerinum,1
Sarcomyxa serotina,0
Sarcoscypha austriaca,0
Sarcosoma globosum,1
Schizophyllum commune,1
Stereum hirsutum,1
Stereum ostrea,1
Stropharia aeruginosa,1
Stropharia ambigua,1
Suillus americanus,1
Suillus granulatus,0
Suillus grevillei,0
Suillus luteus,0
Suillus spraguei,0
Tapinella atrotomentosa,1
Trametes betulina,1
Trametes gibbosa,1
Trametes hirsuta,1
Trametes ochracea,1
Trametes versicolor,1
Tremella mesenterica,0
Trichaptum biforme,1
Tricholoma murrillianum,0
Tricholomopsis rutilans,1
Tylopilus felleus,1
Tylopilus rubrobrunneus,1
Urnula craterium,1
Verpa bohemica,1
Volvopluteus gloiocephalus,1
Vulpicida pinastri,1
Xanthoria parietina,1
